127.0.0.1 - - [31/Aug/2024:21:31:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:32:00 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:32:00 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:32:02 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:32:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:32:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:32:19 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:32:23 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:32:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:33:24 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:33:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:34:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:40:50 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:41:02 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:41:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:41:06 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:41:06 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:41:14 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:41:25 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:41:25 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:57:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:58:38 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:58:41 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:58:58 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:59:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:21:59:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:22:00:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:22:04:38 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:22:17:39 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2024:22:17:39 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [31/Aug/2024:22:17:50 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:22:56:41 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:12:43 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:13:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:13:20 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:13:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:14:59 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:14:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:23 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5534
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:32 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5536
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:35 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5536
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:36 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5536
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:58 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:15:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:16:17 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5538
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:16:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:16:19 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5538
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:16:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:16:28 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5544
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:16:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:16:55 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5534
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:16:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:17:06 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5536
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:17:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:17:33 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5530
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:17:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:17:57 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5530
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:17:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:18:06 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:18:06 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:18:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [31/Aug/2024:23:21:40 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
