127.0.0.1 - - [14/Sep/2024:13:49:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:50:00 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:50:00 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:50:02 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:50:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:50:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:50:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:50:37 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [14/Sep/2024:13:50:40 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7154
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:01:01 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:01:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:15:35 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:15:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:19:59 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:19:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:20:05 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:20:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:20:12 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:20:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:20:14 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:20:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:20:41 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:20:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:21:20 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:21:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:22:36 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9468
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:22:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:22:43 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7305
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:22:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:22:49 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:22:49 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9568
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:22:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:24:11 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8348
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:24:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:24:22 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9594
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:24:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:24:28 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9599
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:24:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:06 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8348
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:12 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8379
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:20 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8782
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:28 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 8369
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:37 +0530] "GET /ORS_Project4/ctl/UserCtl?id=400 HTTP/1.1" 200 8782
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:25:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:26:19 +0530] "GET /ORS_Project4/ctl/UserCtl?id=400 HTTP/1.1" 200 8782
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:26:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:29:13 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9571
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:29:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:51:00 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:51:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:51:03 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [14/Sep/2024:14:51:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
